numero_oficio,numero_processo,processo_id,origem
2026/001,2026/000485,2566cf24-493a-41d7-b46b-1b3328743fcd,documentos
2026/001,2026/000485,2566cf24-493a-41d7-b46b-1b3328743fcd,processos.dados
2026/002,2026/000476,0e834fe7-65fd-4431-96c5-abe2b592d47b,documentos
2026/002,2026/000476,0e834fe7-65fd-4431-96c5-abe2b592d47b,processos.dados
2026/535,2026/000293,75bdc425-16c0-4ac3-990e-96de95b16fa1,processos.dados
2026/535,2026/000293,75bdc425-16c0-4ac3-990e-96de95b16fa1,documentos
2026/536,2026/000373,6a7737c8-b7e1-423b-8da3-f38960fa6fae,processos.dados
2026/536,2026/000373,6a7737c8-b7e1-423b-8da3-f38960fa6fae,documentos
2026/537,2026/000406,9ae75e52-2b68-4b92-9db3-d08ae3d84cb0,documentos
2026/537,2026/000406,9ae75e52-2b68-4b92-9db3-d08ae3d84cb0,processos.dados
2026/538,2026/000513,807959d3-671d-4517-823d-886ab287fb62,documentos
2026/538,2026/000513,807959d3-671d-4517-823d-886ab287fb62,processos.dados
2026/539,2026/000428,08970e22-5451-4771-bb8b-41b15c065446,processos.dados
2026/539,2026/000428,08970e22-5451-4771-bb8b-41b15c065446,documentos
2026/540,2026/000431,964dd5ae-3460-4a83-b97d-61cca65eef16,processos.dados
2026/540,2026/000431,964dd5ae-3460-4a83-b97d-61cca65eef16,documentos
2026/541,2026/000430,ea014234-4372-4b91-8ddf-63b14270d1b8,processos.dados
2026/541,2026/000430,ea014234-4372-4b91-8ddf-63b14270d1b8,documentos
2026/542,2026/000425,82fb2ca3-18e7-46e4-9c97-1cbd554813d2,documentos
2026/542,2026/000425,82fb2ca3-18e7-46e4-9c97-1cbd554813d2,processos.dados
2026/543,2026/000426,671668e7-9422-47c5-a3b2-7f39bc41b317,documentos
2026/543,2026/000426,671668e7-9422-47c5-a3b2-7f39bc41b317,processos.dados
2026/544,2026/000424,95d3382e-bce4-49d8-ae83-2f10e16a8715,documentos
2026/544,2026/000424,95d3382e-bce4-49d8-ae83-2f10e16a8715,processos.dados
2026/545,2026/000427,71c5d262-522f-414e-b860-0fdce213d9a6,documentos
2026/545,2026/000427,71c5d262-522f-414e-b860-0fdce213d9a6,processos.dados
2026/546,2026/000423,7dd0e5be-bfd1-4fb8-b33a-c1dcd7a5b35b,processos.dados
2026/546,2026/000423,7dd0e5be-bfd1-4fb8-b33a-c1dcd7a5b35b,documentos
2026/547,2026/000422,df49a8e1-7406-4d16-9c69-99aa3622160c,documentos
2026/547,2026/000422,df49a8e1-7406-4d16-9c69-99aa3622160c,processos.dados
2026/548,2026/000421,0edd7b24-fb21-4006-9a81-fdadf1b1d411,documentos
2026/548,2026/000421,0edd7b24-fb21-4006-9a81-fdadf1b1d411,processos.dados
2026/549,2026/000417,f1ce9a36-24e2-4954-a88b-62b682c3c117,processos.dados
2026/549,2026/000417,f1ce9a36-24e2-4954-a88b-62b682c3c117,documentos
2026/550,2026/000420,1dd99311-7d48-4412-8e14-20a496d9cb9b,documentos
2026/550,2026/000420,1dd99311-7d48-4412-8e14-20a496d9cb9b,processos.dados
2026/551,2026/000419,03414a5b-3e3c-43b9-b5aa-45a924bba41d,documentos
2026/551,2026/000419,03414a5b-3e3c-43b9-b5aa-45a924bba41d,processos.dados
2026/552,2026/000416,74c32084-ebac-4566-b0e7-cdf9fad3ee6a,documentos
2026/552,2026/000416,74c32084-ebac-4566-b0e7-cdf9fad3ee6a,processos.dados
2026/553,2026/000414,cf27e7aa-39e8-460a-b0db-5dc54a292f3e,documentos
2026/553,2026/000414,cf27e7aa-39e8-460a-b0db-5dc54a292f3e,processos.dados
2026/554,2026/000410,52101f10-3a36-4f89-97bd-81df77a5783a,documentos
2026/554,2026/000410,52101f10-3a36-4f89-97bd-81df77a5783a,processos.dados
2026/555,2026/000412,0247e5c8-b713-442e-98d0-c3e27d2de55d,documentos
2026/555,2026/000412,0247e5c8-b713-442e-98d0-c3e27d2de55d,processos.dados
2026/556,2026/000409,e7af5147-13bd-4634-9f06-249fd394aa7c,processos.dados
2026/556,2026/000409,e7af5147-13bd-4634-9f06-249fd394aa7c,documentos
2026/557,2026/000407,c8b77d01-0dc8-43ae-94fa-ad00ea281f45,processos.dados
2026/557,2026/000407,c8b77d01-0dc8-43ae-94fa-ad00ea281f45,documentos
2026/558,2026/000404,1e5410ce-cc79-45a4-9464-3df950b19bf3,documentos
2026/558,2026/000404,1e5410ce-cc79-45a4-9464-3df950b19bf3,processos.dados
2026/559,2026/000405,712c3049-ac31-43ed-a9d6-4b90d8626da5,documentos
2026/559,2026/000405,712c3049-ac31-43ed-a9d6-4b90d8626da5,processos.dados
